#    s          H
   0.00000     5.185
   0.00436     5.137
   0.01215     5.132
   0.02140     5.127
   0.03175     5.118
   0.04275     5.098
   0.05413     5.070
   0.06571     5.036
   0.07741     4.995
   0.08916     4.948
   0.10095     4.896
   0.11276     4.838
   0.12460     4.774
   0.13646     4.704
   0.14835     4.629
   0.16026     4.550
   0.17218     4.465
   0.18412     4.376
   0.19607     4.282
   0.20803     4.185
   0.22000     4.082
   0.23198     3.975
   0.24397     3.865
   0.25596     3.751
   0.26795     3.634
   0.27993     3.512
   0.29192     3.386
   0.30391     3.260
   0.31590     3.139
   0.32788     3.033
   0.33984     2.935
   0.35180     2.843
   0.36374     2.757
   0.37566     2.675
   0.38758     2.600
   0.39949     2.529
   0.41140     2.462
   0.42331     2.401
   0.43521     2.342
   0.44710     2.288
   0.45898     2.237
   0.47084     2.190
   0.48269     2.146
   0.49453     2.105
   0.50635     2.067
   0.51817     2.031
   0.52996     1.999
   0.54175     1.968
   0.55353     1.940
   0.56529     1.914
   0.57704     1.890
   0.58878     1.867
   0.60050     1.845
   0.61220     1.825
   0.62388     1.806
   0.63554     1.788
   0.64718     1.772
   0.65881     1.757
   0.67042     1.742
   0.68202     1.729
   0.69359     1.715
   0.70515     1.702
   0.71667     1.690
   0.72817     1.678
   0.73964     1.666
   0.75108     1.655
   0.76249     1.643
   0.77385     1.632
   0.78517     1.620
   0.79643     1.609
   0.80763     1.597
   0.81878     1.587
   0.82987     1.575
   0.84089     1.565
   0.85185     1.554
   0.86273     1.544
   0.87352     1.531
   0.88421     1.521
   0.89479     1.509
   0.90524     1.497
   0.91555     1.486
   0.92566     1.471
   0.93552     1.461
   0.94510     1.447
   0.95431     1.442
   0.96307     1.440
   0.97123     1.456
   0.97864     1.502
   0.98520     1.628
   0.99084     1.921
   0.99564     2.752
   0.99969     5.604
   1.00312    10.705
   1.00607    10.598
   1.00862     9.704
   1.01086     8.340
   1.01285     6.897
   1.01465     5.447
   1.01626     4.198
   1.01771     3.008
   1.01903     2.564
   1.02031     2.463
   1.02158     2.360
   1.02288     2.261
   1.02422     2.202
   1.02567     2.168
   1.02724     2.166
   1.02897     2.144
   1.03090     2.138
   1.03310     2.193
   1.03564     2.148
   1.03863     2.221
   1.04220     2.200
   1.04653     2.200
   1.05188     2.230
   1.05845     2.230
   1.06636     2.271
   1.07544     2.216
   1.08545     2.318
   1.09604     2.237
   1.10701     2.314
   1.11816     2.281
   1.12949     2.306
   1.14077     2.297
   1.15198     2.327
   1.16321     2.312
   1.17466     2.323
   1.18629     2.321
   1.19802     2.325
   1.20980     2.344
   1.22157     2.315
   1.23336     2.342
   1.24520     2.339
   1.25703     2.328
   1.26889     2.357
   1.28080     2.335
   1.29270     2.346
   1.30459     2.333
   1.31649     2.347
   1.32840     2.349
   1.34029     2.346
   1.35215     2.356
   1.36399     2.346
   1.37579     2.327
   1.38761     2.360
   1.39950     2.353
   1.41141     2.348
   1.42335     2.353
   1.43529     2.349
   1.44721     2.339
   1.45912     2.350
   1.47104     2.351
   1.48294     2.334
   1.49483     2.349
   1.50674     2.347
   1.51868     2.355
   1.53063     2.351
   1.54254     2.343
   1.55442     2.337
   1.56630     2.345
   1.57823     2.358
   1.59017     2.350
   1.60210     2.343
   1.61401     2.343
   1.62590     2.341
   1.63783     2.353
   1.64977     2.348
   1.66168     2.336
   1.67353     2.333
   1.68540     2.347
   1.69727     2.339
   1.70915     2.345
   1.72106     2.339
   1.73297     2.338
   1.74487     2.334
   1.75679     2.335
   1.76870     2.330
   1.78059     2.330
   1.79247     2.330
   1.80437     2.332
   1.81624     2.321
   1.82815     2.331
   1.84006     2.320
   1.85196     2.314
   1.86383     2.307
   1.87572     2.310
   1.88761     2.299
   1.89950     2.292
   1.91139     2.284
   1.92329     2.275
   1.93518     2.267
   1.94706     2.246
   1.95885     2.233
   1.97049     2.209
   1.98202     2.183
   1.99334     2.143
   2.00411     2.095
   2.01387     2.052
   2.02199     2.024
   2.02641     2.524
