  0.00000      -3.512
   0.00406      -3.513
   0.00812      -3.192
   0.01218      -1.846
   0.01624      -1.448
   0.02030      -1.357
   0.02436      -1.197
   0.02842      -1.049
   0.03248      -0.934
   0.03654      -0.842
   0.04061      -0.747
   0.04467      -0.652
   0.04873      -0.556
   0.05279      -0.465
   0.05685      -0.437
   0.06091      -0.405
   0.06497      -0.376
   0.06903      -0.343
   0.07309      -0.315
   0.07715      -0.281
   0.08121      -0.257
   0.08527      -0.254
   0.08933      -0.250
   0.09340      -0.246
   0.09746      -0.241
   0.10152      -0.239
   0.10558      -0.232
   0.10964      -0.231
   0.11370      -0.224
   0.11776      -0.210
   0.12182      -0.196
   0.12588      -0.183
   0.12994      -0.169
   0.13401      -0.155
   0.13807      -0.142
   0.14213      -0.127
   0.14619      -0.113
   0.15025      -0.101
   0.15431      -0.096
   0.15837      -0.093
   0.16243      -0.087
   0.16649      -0.084
   0.17055      -0.079
   0.17461      -0.074
   0.17867      -0.072
   0.18273      -0.066
   0.18679      -0.062
   0.19085      -0.058
   0.19491      -0.052
   0.19897      -0.049
   0.20303      -0.042
   0.20709      -0.038
   0.21115      -0.032
   0.21522      -0.029
   0.21928      -0.023
   0.22334      -0.018
   0.22740      -0.012
   0.23146      -0.009
   0.23552      -0.004
   0.23958      -0.005
   0.24364      -0.007
   0.24770      -0.009
   0.25176      -0.007
   0.25582      -0.012
   0.25989      -0.010
   0.26395      -0.014
   0.26801      -0.014
   0.27207      -0.015
   0.27613      -0.016
   0.28019      -0.018
   0.28425      -0.016
   0.28831      -0.012
   0.29237      -0.007
   0.29643      -0.003
   0.30049       0.000
   0.30455       0.004
   0.30861       0.008
   0.31267       0.011
   0.31674       0.017
   0.32080       0.020
   0.32486       0.024
   0.32892       0.027
   0.33298       0.034
   0.33704       0.040
   0.34110       0.044
   0.34516       0.052
   0.34922       0.056
   0.35328       0.064
   0.35734       0.070
   0.36140       0.074
   0.36546       0.082
   0.36952       0.087
   0.37358       0.093
   0.37764       0.100
   0.38170       0.105
   0.38577       0.105
   0.38983       0.105
   0.39389       0.106
   0.39795       0.106
   0.40201       0.107
   0.40607       0.108
   0.41013       0.107
   0.41419       0.110
   0.41825       0.109
   0.42231       0.109
   0.42637       0.112
   0.43043       0.109
   0.43449       0.116
   0.43855       0.121
   0.44261       0.128
   0.44668       0.133
   0.45074       0.140
   0.45480       0.147
   0.45886       0.152
   0.46292       0.159
   0.46698       0.164
   0.47104       0.171
   0.47510       0.176
   0.47916       0.184
   0.48322       0.190
   0.48729       0.194
   0.49135       0.201
   0.49541       0.205
   0.49947       0.212
   0.50353       0.217
   0.50759       0.222
   0.51165       0.227
   0.51571       0.234
   0.51977       0.238
   0.52383       0.244
   0.52789       0.249
   0.53195       0.255
   0.53601       0.260
   0.54007       0.264
   0.54413       0.269
   0.54819       0.274
   0.55225       0.278
   0.55631       0.283
   0.56038       0.287
   0.56444       0.291
   0.56850       0.296
   0.57256       0.301
   0.57662       0.305
   0.58068       0.310
   0.58474       0.314
   0.58880       0.324
   0.59286       0.334
   0.59692       0.344
   0.60098       0.353
   0.60504       0.365
   0.60910       0.373
   0.61316       0.384
   0.61722       0.394
   0.62128       0.404
   0.62534       0.414
   0.62940       0.423
   0.63346       0.435
   0.63752       0.439
   0.64158       0.447
   0.64564       0.451
   0.64971       0.459
   0.65377       0.463
   0.65783       0.469
   0.66189       0.475
   0.66595       0.480
   0.67001       0.487
   0.67407       0.491
   0.67814       0.499
   0.68220       0.503
   0.68626       0.515
   0.69032       0.528
   0.69438       0.540
   0.69844       0.552
   0.70250       0.563
   0.70656       0.577
   0.71062       0.589
   0.71468       0.599
   0.71874       0.613
   0.72280       0.624
   0.72686       0.636
   0.73092       0.650
   0.73499       0.665
   0.73905       0.681
   0.74311       0.696
   0.74717       0.711
   0.75123       0.726
   0.75529       0.741
   0.75935       0.757
   0.76341       0.772
   0.76747       0.786
   0.77153       0.804
   0.77559       0.834
   0.77966       0.863
   0.78372       0.892
   0.78778       0.921
   0.79184       0.950
   0.79590       0.979
   0.79996       1.009
   0.80402       1.038
   0.80808       1.066
   0.81214       1.097
   0.81620       1.123
   0.82026       1.154
   0.82432       1.182
   0.82838       1.211
   0.83245       1.239
   0.83651       1.269
   0.84057       1.298
   0.84463       1.327
   0.84869       1.359
   0.85275       1.412
   0.85681       1.465
   0.86087       1.518
   0.86493       1.569
   0.86900       1.623
   0.87306       1.674
   0.87712       1.728
   0.88118       1.778
   0.88524       1.844
   0.88930       1.908
   0.89336       1.975
   0.89742       2.039
   0.90148       2.106
   0.90554       2.173
   0.90960       2.232
   0.91367       2.331
   0.91773       2.496
   0.92179       2.650
   0.92585       2.806
   0.92991       2.963
   0.93398       3.122
   0.93804       3.269
   0.94210       3.497
   0.94616       3.744
   0.95023       3.989
   0.95429       4.240
   0.95835       4.484
   0.96241       4.754
   0.96647       5.291
   0.97053       5.805
   0.97460       6.332
   0.97866       6.795
   0.98273       7.444
   0.98681       8.648
   0.99088       9.956
   0.99494      11.055
   0.99898      13.660
   1.00302      19.123
   1.00710      20.563
   1.01128      30.467
   1.01547      47.949
   1.01948     128.413
   1.02338     167.462
   1.02737      83.162
   1.03145      21.752
   1.03551      16.483
   1.03957      11.396
   1.04363       9.370
   1.04769       6.341
   1.05175       5.135
   1.05581       5.206
   1.05987       3.538
   1.06393       2.057
   1.06799       3.370
   1.07206       3.108
   1.07611       2.123
   1.08017       1.458
   1.08423       1.566
   1.08830       1.913
   1.09236       1.200
   1.09642       1.219
   1.10048       1.526
