#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.15189  0.12615 -0.02136  0.00000  0.000000  0.000000  0.000000     1.000
   1.15718  0.13144 -0.02151  0.00000  0.000000  0.000000  0.000000     1.000
   1.16256  0.13682 -0.02168  0.00000  0.000000  0.000000  0.000000     1.000
   1.16804  0.14229 -0.02182  0.00000  0.000000  0.000000  0.000000     1.000
   1.17360  0.14785 -0.02197  0.00000  0.000000  0.000000  0.000000     1.000
   1.17924  0.15349 -0.02210  0.00000  0.000000  0.000000  0.000000     1.000
   1.18497  0.15922 -0.02222  0.00000  0.000000  0.000000  0.000000     1.000
   1.19079  0.16504 -0.02234  0.00000  0.000000  0.000000  0.000000     1.000
   1.19670  0.17095 -0.02245  0.00000  0.000000  0.000000  0.000000     1.000
   1.20874  0.18299 -0.02264  0.00000  0.000000  0.000000  0.000000     1.000
   1.22111  0.19536 -0.02282  0.00000  0.000000  0.000000  0.000000     1.000
   1.23379  0.20803 -0.02294  0.00000  0.000000  0.000000  0.000000     1.000
   1.24675  0.22099 -0.02306  0.00000  0.000000  0.000000  0.000000     1.000
   1.25998  0.23422 -0.02315  0.00000  0.000000  0.000000  0.000000     1.000
   1.27348  0.24772 -0.02320  0.00000  0.000000  0.000000  0.000000     1.000
   1.28724  0.26148 -0.02324  0.00000  0.000000  0.000000  0.000000     1.000
   1.30123  0.27547 -0.02326  0.00000  0.000000  0.000000  0.000000     1.000
   1.31545  0.28969 -0.02325  0.00000  0.000000  0.000000  0.000000     1.000
   1.32987  0.30411 -0.02322  0.00000  0.000000  0.000000  0.000000     1.000
   1.34449  0.31873 -0.02317  0.00000  0.000000  0.000000  0.000000     1.000
   1.35929  0.33353 -0.02309  0.00000  0.000000  0.000000  0.000000     1.000
   1.37426  0.34850 -0.02303  0.00000  0.000000  0.000000  0.000000     1.000
   1.38937  0.36361 -0.02290  0.00000  0.000000  0.000000  0.000000     1.000
   1.40463  0.37887 -0.02277  0.00000  0.000000  0.000000  0.000000     1.000
   1.42000  0.39424 -0.02262  0.00000  0.000000  0.000000  0.000000     1.000
   1.43548  0.40972 -0.02246  0.00000  0.000000  0.000000  0.000000     1.000
   1.45105  0.42529 -0.02228  0.00000  0.000000  0.000000  0.000000     1.000
   1.46670  0.44094 -0.02207  0.00000  0.000000  0.000000  0.000000     1.000
   1.48240  0.45664 -0.02186  0.00000  0.000000  0.000000  0.000000     1.000
   1.49816  0.47239 -0.02161  0.00000  0.000000  0.000000  0.000000     1.000
   1.51393  0.48816 -0.02133  0.00000  0.000000  0.000000  0.000000     1.000
   1.52972  0.50395 -0.02104  0.00000  0.000000  0.000000  0.000000     1.000
   1.54550  0.51973 -0.02075  0.00000  0.000000  0.000000  0.000000     1.000
   1.56127  0.53549 -0.02042  0.00000  0.000000  0.000000  0.000000     1.000
   1.57700  0.55122 -0.02005  0.00000  0.000000  0.000000  0.000000     1.000
   1.59268  0.56689 -0.01968  0.00000  0.000000  0.000000  0.000000     1.000
   1.60829  0.58250 -0.01930  0.00000  0.000000  0.000000  0.000000     1.000
   1.62383  0.59803 -0.01889  0.00000  0.000000  0.000000  0.000000     1.000
   1.63926  0.61346 -0.01845  0.00000  0.000000  0.000000  0.000000     1.000
   1.65458  0.62877 -0.01801  0.00000  0.000000  0.000000  0.000000     1.000
   1.66978  0.64396 -0.01756  0.00000  0.000000  0.000000  0.000000     1.000
   1.68483  0.65901 -0.01706  0.00000  0.000000  0.000000  0.000000     1.000
   1.69972  0.67389 -0.01657  0.00000  0.000000  0.000000  0.000000     1.000
   1.71444  0.68860 -0.01605  0.00000  0.000000  0.000000  0.000000     1.000
   1.72898  0.70313 -0.01553  0.00000  0.000000  0.000000  0.000000     1.000
   1.74331  0.71745 -0.01499  0.00000  0.000000  0.000000  0.000000     1.000
   1.75743  0.73156 -0.01444  0.00000  0.000000  0.000000  0.000000     1.000
   1.77131  0.74543 -0.01388  0.00000  0.000000  0.000000  0.000000     1.000
   1.78495  0.75906 -0.01331  0.00000  0.000000  0.000000  0.000000     1.000
   1.79834  0.77243 -0.01272  0.00000  0.000000  0.000000  0.000000     1.000
   1.81145  0.78553 -0.01214  0.00000  0.000000  0.000000  0.000000     1.000
   1.82428  0.79835 -0.01154  0.00000  0.000000  0.000000  0.000000     1.000
   1.83681  0.81086 -0.01095  0.00000  0.000000  0.000000  0.000000     1.000
   1.84903  0.82307 -0.01036  0.00000  0.000000  0.000000  0.000000     1.000
   1.86094  0.83496 -0.00977  0.00000  0.000000  0.000000  0.000000     1.000
   1.87250  0.84651 -0.00917  0.00000  0.000000  0.000000  0.000000     1.000
   1.88372  0.85771 -0.00859  0.00000  0.000000  0.000000  0.000000     1.000
   1.89458  0.86856 -0.00801  0.00000  0.000000  0.000000  0.000000     1.000
   1.90509  0.87905 -0.00744  0.00000  0.000000  0.000000  0.000000     1.000
   1.91520  0.88915 -0.00687  0.00000  0.000000  0.000000  0.000000     1.000
   1.92494  0.89887 -0.00632  0.00000  0.000000  0.000000  0.000000     1.000
   1.93428  0.90819 -0.00578  0.00000  0.000000  0.000000  0.000000     1.000
   1.94320  0.91710 -0.00526  0.00000  0.000000  0.000000  0.000000     1.000
   1.95172  0.92560 -0.00476  0.00000  0.000000  0.000000  0.000000     1.000
   1.95980  0.93367 -0.00427  0.00000  0.000000  0.000000  0.000000     1.000
   1.96745  0.94131 -0.00381  0.00000  0.000000  0.000000  0.000000     1.000
   1.97467  0.94851 -0.00335  0.00000  0.000000  0.000000  0.000000     1.000
   1.98143  0.95526 -0.00294  0.00000  0.000000  0.000000  0.000000     1.000
   1.98774  0.96156 -0.00255  0.00000  0.000000  0.000000  0.000000     1.000
   1.99360  0.96740 -0.00218  0.00000  0.000000  0.000000  0.000000     1.000
   1.99898  0.97277 -0.00182  0.00000  0.000000  0.000000  0.000000     1.000
   2.00390  0.97768 -0.00151  0.00000  0.000000  0.000000  0.000000     1.000
   2.00833  0.98210 -0.00121  0.00000  0.000000  0.000000  0.000000     1.000
   2.01229  0.98605 -0.00095  0.00000  0.000000  0.000000  0.000000     1.000
   2.01575  0.98951 -0.00071  0.00000  0.000000  0.000000  0.000000     1.000
   2.01873  0.99248 -0.00050  0.00000  0.000000  0.000000  0.000000     1.000
   2.02122  0.99496 -0.00034  0.00000  0.000000  0.000000  0.000000     1.000
   2.02321  0.99695 -0.00020  0.00000  0.000000  0.000000  0.000000     1.000
   2.02470  0.99844 -0.00011  0.00000  0.000000  0.000000  0.000000     1.000
   2.02571  0.99944 -0.00004  0.00000  0.000000  0.000000  0.000000     1.000
   2.02602  0.99975 -0.00002  0.00000  0.000000  0.000000  0.000000     1.000
   2.02621  0.99994  0.00000  0.00000  0.000000  0.000000  0.000000     1.000
   2.02627  1.00000  0.00000  0.00000  0.000000  0.000000  0.000000     1.000
