#    s         H
   0.00000    1.428
   0.00436    1.410
   0.01215    1.424
   0.02140    1.433
   0.03175    1.439
   0.04275    1.442
   0.05413    1.444
   0.06571    1.445
   0.07741    1.446
   0.08916    1.448
   0.10095    1.450
   0.11276    1.454
   0.12460    1.458
   0.13646    1.463
   0.14835    1.470
   0.16026    1.480
   0.17218    1.493
   0.18412    1.511
   0.19607    1.534
   0.20803    1.564
   0.22000    1.605
   0.23198    1.661
   0.24397    1.738
   0.25596    1.845
   0.26795    1.998
   0.27993    2.216
   0.29192    2.525
   0.30391    2.960
   0.31590    3.527
   0.32788    4.208
   0.33984    4.438
   0.35180    4.569
   0.36374    4.649
   0.37566    4.689
   0.38758    4.700
   0.39949    4.686
   0.41140    4.653
   0.42331    4.600
   0.43521    4.533
   0.44710    4.450
   0.45898    4.358
   0.47084    4.260
   0.48269    4.156
   0.49453    4.049
   0.50635    3.945
   0.51817    3.839
   0.52996    3.740
   0.54175    3.645
   0.55353    3.557
   0.56529    3.474
   0.57704    3.399
   0.58878    3.326
   0.60050    3.257
   0.61220    3.196
   0.62388    3.137
   0.63554    3.087
   0.64718    3.042
   0.65881    2.999
   0.67042    2.969
   0.68202    2.934
   0.69359    2.901
   0.70515    2.876
   0.71667    2.844
   0.72817    2.817
   0.73964    2.798
   0.75108    2.772
   0.76249    2.745
   0.77385    2.725
   0.78517    2.697
   0.79643    2.673
   0.80763    2.648
   0.81878    2.627
   0.82987    2.599
   0.84089    2.595
   0.85185    2.564
   0.86273    2.551
   0.87352    2.530
   0.88421    2.515
   0.89479    2.496
   0.90524    2.492
   0.91555    2.479
   0.92566    2.455
   0.93552    2.444
   0.94510    2.423
   0.95431    2.410
   0.96307    2.392
   0.97123    2.377
   0.97864    2.364
   0.98520    2.348
   0.99084    2.334
   0.99564    2.329
   0.99969    2.329
   1.00312    2.287
   1.00607    2.308
   1.00862    2.265
   1.01086    2.278
   1.01285    2.267
   1.01465    2.256
   1.01626    2.261
   1.01771    2.230
   1.01903    2.230
   1.02031    2.218
   1.02158    2.225
   1.02288    2.231
   1.02422    2.271
   1.02567    2.363
   1.02724    2.387
   1.02897    2.467
   1.03090    2.633
   1.03310    2.619
   1.03564    2.537
   1.03863    2.544
   1.04220    2.556
   1.04653    2.586
   1.05188    2.597
   1.05845    2.613
   1.06636    2.634
   1.07544    2.634
   1.08545    2.663
   1.09604    2.667
   1.10701    2.664
   1.11816    2.668
   1.12949    2.686
   1.14077    2.670
   1.15198    2.686
   1.16321    2.694
   1.17466    2.692
   1.18629    2.695
   1.19802    2.687
   1.20980    2.688
   1.22157    2.665
   1.23336    2.690
   1.24520    2.673
   1.25703    2.667
   1.26889    2.669
   1.28080    2.671
   1.29270    2.663
   1.30459    2.657
   1.31649    2.662
   1.32840    2.659
   1.34029    2.653
   1.35215    2.661
   1.36399    2.655
   1.37579    2.631
   1.38761    2.651
   1.39950    2.651
   1.41141    2.647
   1.42335    2.648
   1.43529    2.643
   1.44721    2.637
   1.45912    2.641
   1.47104    2.641
   1.48294    2.630
   1.49483    2.636
   1.50674    2.642
   1.51868    2.650
   1.53063    2.651
   1.54254    2.644
   1.55442    2.643
   1.56630    2.653
   1.57823    2.669
   1.59017    2.671
   1.60210    2.672
   1.61401    2.674
   1.62590    2.683
   1.63783    2.699
   1.64977    2.705
   1.66168    2.707
   1.67353    2.714
   1.68540    2.741
   1.69727    2.747
   1.70915    2.765
   1.72106    2.784
   1.73297    2.799
   1.74487    2.823
   1.75679    2.847
   1.76870    2.876
   1.78059    2.907
   1.79247    2.951
   1.80437    2.997
   1.81624    3.046
   1.82815    3.114
   1.84006    3.179
   1.85196    3.259
   1.86383    3.353
   1.87572    3.470
   1.88761    3.592
   1.89950    3.740
   1.91139    3.913
   1.92329    4.103
   1.93518    4.318
   1.94706    4.544
   1.95885    4.798
   1.97049    5.070
   1.98202    5.364
   1.99334    5.671
   2.00411    6.008
   2.01387    6.357
   2.02199    6.708
   2.02641    7.143
