#    s          H
   0.00000     1.479
   0.00436     1.458
   0.01215     1.469
   0.02140     1.474
   0.03175     1.476
   0.04275     1.475
   0.05413     1.472
   0.06571     1.469
   0.07741     1.466
   0.08916     1.463
   0.10095     1.460
   0.11276     1.458
   0.12460     1.455
   0.13646     1.452
   0.14835     1.449
   0.16026     1.447
   0.17218     1.445
   0.18412     1.444
   0.19607     1.443
   0.20803     1.443
   0.22000     1.444
   0.23198     1.446
   0.24397     1.451
   0.25596     1.457
   0.26795     1.467
   0.27993     1.481
   0.29192     1.501
   0.30391     1.530
   0.31590     1.571
   0.32788     1.632
   0.33984     1.724
   0.35180     1.865
   0.36374     2.088
   0.37566     2.432
   0.38758     2.924
   0.39949     3.503
   0.41140     3.777
   0.42331     3.902
   0.43521     3.971
   0.44710     3.994
   0.45898     3.985
   0.47084     3.954
   0.48269     3.901
   0.49453     3.838
   0.50635     3.768
   0.51817     3.690
   0.52996     3.615
   0.54175     3.539
   0.55353     3.467
   0.56529     3.397
   0.57704     3.333
   0.58878     3.269
   0.60050     3.207
   0.61220     3.151
   0.62388     3.097
   0.63554     3.051
   0.64718     3.010
   0.65881     2.970
   0.67042     2.945
   0.68202     2.911
   0.69359     2.881
   0.70515     2.858
   0.71667     2.828
   0.72817     2.802
   0.73964     2.784
   0.75108     2.760
   0.76249     2.734
   0.77385     2.715
   0.78517     2.687
   0.79643     2.665
   0.80763     2.639
   0.81878     2.619
   0.82987     2.590
   0.84089     2.588
   0.85185     2.557
   0.86273     2.545
   0.87352     2.524
   0.88421     2.509
   0.89479     2.490
   0.90524     2.486
   0.91555     2.474
   0.92566     2.449
   0.93552     2.439
   0.94510     2.418
   0.95431     2.405
   0.96307     2.387
   0.97123     2.373
   0.97864     2.360
   0.98520     2.344
   0.99084     2.330
   0.99564     2.323
   0.99969     2.329
   1.00312     2.280
   1.00607     2.307
   1.00862     2.262
   1.01086     2.276
   1.01285     2.261
   1.01465     2.253
   1.01626     2.250
   1.01771     2.230
   1.01903     2.230
   1.02031     2.215
   1.02158     2.224
   1.02288     2.231
   1.02422     2.277
   1.02567     2.372
   1.02724     2.399
   1.02897     2.491
   1.03090     2.689
   1.03310     2.659
   1.03564     2.560
   1.03863     2.567
   1.04220     2.580
   1.04653     2.615
   1.05188     2.625
   1.05845     2.640
   1.06636     2.662
   1.07544     2.657
   1.08545     2.690
   1.09604     2.691
   1.10701     2.687
   1.11816     2.689
   1.12949     2.711
   1.14077     2.688
   1.15198     2.707
   1.16321     2.716
   1.17466     2.710
   1.18629     2.715
   1.19802     2.703
   1.20980     2.706
   1.22157     2.675
   1.23336     2.708
   1.24520     2.686
   1.25703     2.678
   1.26889     2.682
   1.28080     2.684
   1.29270     2.673
   1.30459     2.667
   1.31649     2.672
   1.32840     2.668
   1.34029     2.660
   1.35215     2.672
   1.36399     2.664
   1.37579     2.632
   1.38761     2.658
   1.39950     2.659
   1.41141     2.652
   1.42335     2.654
   1.43529     2.646
   1.44721     2.639
   1.45912     2.644
   1.47104     2.644
   1.48294     2.629
   1.49483     2.636
   1.50674     2.643
   1.51868     2.651
   1.53063     2.652
   1.54254     2.641
   1.55442     2.638
   1.56630     2.650
   1.57823     2.668
   1.59017     2.668
   1.60210     2.666
   1.61401     2.666
   1.62590     2.675
   1.63783     2.691
   1.64977     2.696
   1.66168     2.693
   1.67353     2.698
   1.68540     2.727
   1.69727     2.728
   1.70915     2.744
   1.72106     2.760
   1.73297     2.771
   1.74487     2.791
   1.75679     2.811
   1.76870     2.834
   1.78059     2.858
   1.79247     2.897
   1.80437     2.935
   1.81624     2.975
   1.82815     3.036
   1.84006     3.089
   1.85196     3.156
   1.86383     3.239
   1.87572     3.347
   1.88761     3.456
   1.89950     3.596
   1.91139     3.764
   1.92329     3.952
   1.93518     4.171
   1.94706     4.397
   1.95885     4.654
   1.97049     4.928
   1.98202     5.218
   1.99334     5.507
   2.00411     5.811
   2.01387     5.965
   2.02199     5.333
   2.02641     5.303
