-10	-0.0047194
-9.8	-0.0045802
-9.6	-0.0044404
-9.4	-0.0043006
-9.2	-0.0041602
-9	-0.0040204
-8.8	-0.0038806
-8.6	-0.0037402
-8.4	-0.0037004
-8.2	-0.00356
-8	-0.0034196
-7.8	-0.0032798
-7.6	-0.0032394
-7.4	-0.003099
-7.2	-0.0029586
-7	-0.0029182
-6.8	-0.0027772
-6.6	-0.0026368
-6.4	-0.0025964
-6.2	-0.0024554
-6	-0.002415
-5.8	-0.002274
-5.6	-0.0022336
-5.4	-0.0021926
-5.2	-0.0020516
-5	-0.0020112
-4.8	-0.0018702
-4.6	-0.0018292
-4.4	-0.0017882
-4.2	-0.0017472
-4	-0.0016062
-3.8	-0.0015658
-3.6	-0.0015248
-3.4	-0.0014838
-3.2	-0.0014422
-3	-0.0014012
-2.8	-0.0013602
-2.6	-0.0012192
-2.4	-0.0011782
-2.2	-0.0011372
-2	-0.0010962
-1.8	-0.0011552
-1.6	-0.0011142
-1.4	-0.0010732
-1.2	-0.0010322
-1	-0.0009912
-0.8	-0.0009496
-0.6	-0.0009086
-0.4	-0.0009676
-0.2	-0.0009266
0	-0.0008856
0.2	-0.0008446
0.4	-0.0009042
0.6	-0.0008632
0.8	-0.0009222
1	-0.0008812
1.2	-0.0008402
1.4	-0.0008992
1.6	-0.0008588
1.8	-0.0009178
2	-0.0008768
2.2	-0.0009364
2.4	-0.0009954
2.6	-0.000955
2.8	-0.0010146
3	-0.0009736
3.2	-0.0010332
3.4	-0.0010928
3.6	-0.0011524
3.8	-0.001112
4	-0.0011716
4.2	-0.0012312
4.4	-0.0012908
4.6	-0.001351
4.8	-0.0013106
5	-0.0013708
5.2	-0.0014304
5.4	-0.0014906
5.6	-0.0015508
5.8	-0.001611
6	-0.0016712
6.2	-0.0017314
6.4	-0.0017916
6.6	-0.0018518
6.8	-0.0019126
7	-0.0020728
7.2	-0.0021336
7.4	-0.0021944
7.6	-0.0022552
7.8	-0.002316
8	-0.0024768
8.2	-0.0025382
8.4	-0.002599
8.6	-0.0026604
8.8	-0.0028218
9	-0.0028832
9.2	-0.0029446
9.4	-0.003106
9.6	-0.0031674
9.8	-0.0033294
10	-0.0033914
