          -20        0.08227072  
          -18         0.1186759  
          -12       -0.07384863  
          -10         0.1550622  
           -8         0.3461193  
           -6         0.5342663  
           -4         0.7951845  
           -2          1.093065  
            0          1.234977  
            2          1.392183  
            4          1.562352  
            6          1.717109  
            8          1.843171  
           10          1.921254  
           12          1.929909  
           14          1.861233  
           16          1.757453  
           18          1.664945  

