#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.00599  0.047068  0.009516 -0.000001     4.946
   0.00649  0.99361  0.00114  1.00654  0.045423  0.009481 -0.000001     4.791
   0.01709  0.98319  0.00310  1.00759  0.043288  0.009414 -0.000001     4.598
   0.02844  0.97205  0.00525  1.00862  0.041000  0.009352 -0.000001     4.384
   0.04018  0.96053  0.00749  1.00954  0.038654  0.009299 -0.000001     4.157
   0.05202  0.94889  0.00968  1.01023  0.036351  0.009261  0.000000     3.925
   0.06394  0.93716  0.01182  1.01057  0.034154  0.009243  0.000000     3.695
   0.07597  0.92532  0.01391  1.01020  0.032041  0.009261  0.000001     3.460
   0.08809  0.91338  0.01598  1.00850  0.030013  0.009345  0.000002     3.212
   0.10027  0.90137  0.01803  1.00777  0.028051  0.009380  0.000033     2.991
   0.11249  0.88932  0.02005  1.01112  0.026110  0.009228  0.000077     2.830
   0.12474  0.87723  0.02206  1.01563  0.024266  0.009034  0.000122     2.686
   0.13700  0.86514  0.02406  1.02127  0.022520  0.008805  0.000172     2.558
   0.14925  0.85305  0.02602  1.02795  0.020893  0.008549  0.000227     2.444
   0.16150  0.84095  0.02796  1.03567  0.019364  0.008271  0.000287     2.341
   0.17374  0.82886  0.02988  1.04429  0.017952  0.007980  0.000352     2.250
   0.18596  0.81679  0.03178  1.05376  0.016650  0.007680  0.000423     2.168
   0.19817  0.80472  0.03363  1.06398  0.015453  0.007378  0.000499     2.095
   0.21037  0.79266  0.03546  1.07479  0.014367  0.007078  0.000579     2.030
   0.22257  0.78059  0.03726  1.08623  0.013367  0.006781  0.000665     1.971
   0.23476  0.76853  0.03902  1.09814  0.012456  0.006492  0.000754     1.919
   0.24692  0.75649  0.04075  1.11038  0.011631  0.006214  0.000847     1.872
   0.25906  0.74447  0.04244  1.12283  0.010888  0.005948  0.000941     1.830
   0.27119  0.73246  0.04409  1.13558  0.010206  0.005693  0.001038     1.793
   0.28330  0.72045  0.04570  1.14824  0.009600  0.005455  0.001135     1.760
   0.29541  0.70844  0.04726  1.16096  0.009049  0.005229  0.001232     1.730
   0.30752  0.69643  0.04877  1.17365  0.008549  0.005017  0.001329     1.704
   0.31961  0.68443  0.05025  1.18631  0.008093  0.004816  0.001427     1.681
   0.33170  0.67242  0.05167  1.19872  0.007684  0.004629  0.001522     1.660
   0.34378  0.66042  0.05305  1.21115  0.007305  0.004452  0.001618     1.641
   0.35586  0.64841  0.05438  1.22352  0.006956  0.004284  0.001714     1.624
   0.36794  0.63640  0.05567  1.23560  0.006640  0.004127  0.001807     1.609
   0.38001  0.62440  0.05691  1.24781  0.006341  0.003977  0.001902     1.595
   0.39206  0.61241  0.05810  1.25981  0.006067  0.003835  0.001994     1.582
   0.40410  0.60042  0.05923  1.27183  0.005809  0.003699  0.002088     1.570
   0.41614  0.58843  0.06032  1.28341  0.005577  0.003574  0.002176     1.560
   0.42818  0.57643  0.06135  1.29482  0.005361  0.003455  0.002263     1.552
   0.44022  0.56443  0.06233  1.30644  0.005153  0.003339  0.002352     1.543
   0.45225  0.55243  0.06326  1.31790  0.004959  0.003230  0.002440     1.535
   0.46428  0.54044  0.06413  1.32915  0.004778  0.003126  0.002524     1.529
   0.47632  0.52843  0.06495  1.34040  0.004607  0.003026  0.002609     1.523
   0.48835  0.51642  0.06572  1.35174  0.004443  0.002929  0.002695     1.517
   0.50038  0.50441  0.06644  1.36304  0.004287  0.002835  0.002779     1.512
   0.51241  0.49240  0.06710  1.37427  0.004139  0.002746  0.002863     1.508
   0.52443  0.48040  0.06771  1.38592  0.003993  0.002657  0.002952     1.503
   0.53644  0.46840  0.06826  1.39743  0.003855  0.002572  0.003038     1.499
   0.54844  0.45641  0.06876  1.40909  0.003722  0.002489  0.003126     1.495
   0.56043  0.44442  0.06920  1.42064  0.003596  0.002410  0.003211     1.492
   0.57243  0.43244  0.06958  1.43236  0.003474  0.002332  0.003298     1.490
   0.58442  0.42045  0.06990  1.44400  0.003358  0.002258  0.003382     1.488
   0.59641  0.40846  0.07016  1.45620  0.003242  0.002183  0.003473     1.485
   0.60839  0.39649  0.07037  1.46865  0.003128  0.002109  0.003567     1.483
   0.62035  0.38453  0.07051  1.48107  0.003020  0.002038  0.003658     1.482
   0.63230  0.37257  0.07059  1.49379  0.002914  0.001969  0.003752     1.480
   0.64426  0.36062  0.07061  1.50651  0.002813  0.001902  0.003843     1.480
   0.65621  0.34867  0.07056  1.51975  0.002713  0.001835  0.003940     1.479
   0.66814  0.33673  0.07045  1.53367  0.002611  0.001767  0.004045     1.478
   0.68007  0.32481  0.07027  1.54759  0.002515  0.001702  0.004147     1.478
   0.69198  0.31290  0.07003  1.56225  0.002418  0.001637  0.004257     1.477
   0.70388  0.30100  0.06972  1.57729  0.002324  0.001573  0.004370     1.477
   0.71576  0.28913  0.06934  1.59328  0.002228  0.001509  0.004494     1.477
   0.72761  0.27728  0.06889  1.60980  0.002134  0.001445  0.004623     1.476
   0.73944  0.26547  0.06836  1.62678  0.002043  0.001383  0.004755     1.477
   0.75125  0.25368  0.06775  1.64440  0.001953  0.001322  0.004891     1.477
   0.76303  0.24191  0.06706  1.66309  0.001863  0.001261  0.005040     1.478
   0.77479  0.23018  0.06628  1.68264  0.001774  0.001200  0.005197     1.479
   0.78651  0.21849  0.06542  1.70360  0.001684  0.001139  0.005372     1.479
   0.79819  0.20685  0.06447  1.72561  0.001596  0.001078  0.005557     1.480
   0.80982  0.19527  0.06342  1.74902  0.001508  0.001018  0.005759     1.481
   0.82139  0.18375  0.06227  1.77384  0.001421  0.000959  0.005976     1.482
   0.83291  0.17230  0.06102  1.80051  0.001334  0.000900  0.006217     1.483
   0.84436  0.16093  0.05966  1.82917  0.001247  0.000841  0.006485     1.484
   0.85572  0.14967  0.05818  1.86033  0.001161  0.000782  0.006788     1.485
   0.86699  0.13852  0.05658  1.89343  0.001077  0.000724  0.007114     1.486
   0.87814  0.12750  0.05485  1.92969  0.000992  0.000667  0.007488     1.487
   0.88917  0.11663  0.05298  1.96888  0.000910  0.000611  0.007904     1.489
   0.90003  0.10595  0.05097  2.01261  0.000827  0.000556  0.008402     1.489
   0.91071  0.09550  0.04882  2.05960  0.000748  0.000502  0.008947     1.491
   0.92112  0.08534  0.04652  2.11376  0.000667  0.000448  0.009653     1.489
   0.93121  0.07556  0.04408  2.17329  0.000589  0.000396  0.010481     1.488
   0.94088  0.06623  0.04151  2.23895  0.000515  0.000347  0.011469     1.485
