#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.05411  0.077596  0.012566 -0.000011     6.175
   0.00649  0.99361  0.00114  1.05481  0.075832  0.012498 -0.000011     6.067
   0.01709  0.98319  0.00310  1.05607  0.073546  0.012380 -0.000012     5.941
   0.02844  0.97205  0.00525  1.05742  0.071079  0.012256 -0.000012     5.799
   0.04018  0.96053  0.00749  1.05881  0.068521  0.012132 -0.000012     5.648
   0.05202  0.94889  0.00968  1.06023  0.065988  0.012010 -0.000012     5.494
   0.06394  0.93716  0.01182  1.06167  0.063516  0.011890 -0.000012     5.342
   0.07597  0.92532  0.01391  1.06314  0.061078  0.011771 -0.000013     5.189
   0.08809  0.91338  0.01598  1.06461  0.058659  0.011656 -0.000013     5.033
   0.10027  0.90137  0.01803  1.06609  0.056265  0.011544 -0.000012     4.874
   0.11249  0.88932  0.02005  1.06757  0.053891  0.011436 -0.000012     4.712
   0.12474  0.87723  0.02206  1.06903  0.051540  0.011333 -0.000011     4.548
   0.13700  0.86514  0.02406  1.07046  0.049207  0.011236 -0.000010     4.380
   0.14925  0.85305  0.02602  1.07184  0.046915  0.011145 -0.000008     4.209
   0.16150  0.84095  0.02796  1.07313  0.044647  0.011063 -0.000005     4.036
   0.17374  0.82886  0.02988  1.07431  0.042421  0.010991 -0.000001     3.860
   0.18596  0.81679  0.03178  1.07530  0.040243  0.010932  0.000005     3.681
   0.19817  0.80472  0.03363  1.07603  0.038119  0.010891  0.000012     3.500
   0.21037  0.79266  0.03546  1.07647  0.036065  0.010867  0.000021     3.319
   0.22257  0.78059  0.03726  1.07704  0.034066  0.010837  0.000067     3.144
   0.23476  0.76853  0.03902  1.07951  0.032099  0.010711  0.000128     2.997
   0.24692  0.75649  0.04075  1.08313  0.030201  0.010535  0.000191     2.867
   0.25906  0.74447  0.04244  1.08755  0.028387  0.010330  0.000259     2.748
   0.27119  0.73246  0.04409  1.09276  0.026660  0.010099  0.000333     2.640
   0.28330  0.72045  0.04570  1.09871  0.025031  0.009848  0.000414     2.542
   0.29541  0.70844  0.04726  1.10539  0.023496  0.009582  0.000502     2.452
   0.30752  0.69643  0.04877  1.11273  0.022056  0.009303  0.000598     2.371
   0.31961  0.68443  0.05025  1.12071  0.020706  0.009016  0.000700     2.297
   0.33170  0.67242  0.05167  1.12921  0.019458  0.008727  0.000809     2.230
   0.34378  0.66042  0.05305  1.13824  0.018291  0.008436  0.000924     2.168
   0.35586  0.64841  0.05438  1.14771  0.017212  0.008147  0.001045     2.113
   0.36794  0.63640  0.05567  1.15756  0.016216  0.007862  0.001172     2.062
   0.38001  0.62440  0.05691  1.16776  0.015292  0.007583  0.001303     2.017
   0.39206  0.61241  0.05810  1.17821  0.014442  0.007312  0.001438     1.975
   0.40410  0.60042  0.05923  1.18887  0.013657  0.007050  0.001577     1.937
   0.41614  0.58843  0.06032  1.19959  0.012943  0.006799  0.001715     1.904
   0.42818  0.57643  0.06135  1.21040  0.012287  0.006559  0.001855     1.873
   0.44022  0.56443  0.06233  1.22131  0.011678  0.006328  0.001998     1.846
   0.45225  0.55243  0.06326  1.23231  0.011114  0.006106  0.002141     1.820
   0.46428  0.54044  0.06413  1.24322  0.010599  0.005896  0.002283     1.798
   0.47632  0.52843  0.06495  1.25414  0.010120  0.005695  0.002426     1.777
   0.48835  0.51642  0.06572  1.26509  0.009674  0.005502  0.002569     1.758
   0.50038  0.50441  0.06644  1.27602  0.009259  0.005318  0.002711     1.741
