#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.92112  0.08534  0.04652  1.95783  0.001195  0.000796  0.012055     1.501
   0.93121  0.07556  0.04408  2.00667  0.001061  0.000715  0.013359     1.485
   0.94088  0.06623  0.04151  2.05991  0.000934  0.000637  0.014906     1.467
   0.95006  0.05745  0.03882  2.11604  0.000819  0.000565  0.016649     1.450
   0.95866  0.04931  0.03604  2.17413  0.000716  0.000499  0.018546     1.436
   0.96658  0.04191  0.03323  2.23559  0.000624  0.000438  0.020642     1.425
   0.97373  0.03532  0.03046  2.29929  0.000544  0.000383  0.022816     1.418
   0.98007  0.02957  0.02778  2.36405  0.000477  0.000335  0.024821     1.422
   0.98561  0.02464  0.02525  2.43035  0.000423  0.000293  0.026278     1.442
   0.99043  0.02044  0.02289  2.49617  0.000386  0.000257  0.026167     1.498
   0.99461  0.01688  0.02070  2.56225  0.000372  0.000227  0.022689     1.637
   0.99826  0.01386  0.01865  2.63527  0.000402  0.000199  0.013323     2.016
   1.00147  0.01129  0.01673  2.78623  0.000500  0.000153  0.002142     3.275
   1.00431  0.00910  0.01492  3.09837  0.000615  0.000062 -0.002980     9.844
   1.00685  0.00723  0.01320  3.11374  0.000565  0.000059 -0.003168     9.516
   1.00915  0.00562  0.01156  3.12834  0.000465  0.000057 -0.003416     8.193
   1.01124  0.00425  0.00998  3.14726  0.000356  0.000054 -0.003841     6.580
   1.01316  0.00310  0.00845  3.17723  0.000257  0.000051 -0.004345     5.084
   1.01491  0.00214  0.00698  3.22545  0.000172  0.000046  0.001153     3.722
   1.01654  0.00137  0.00555  3.29426  0.000124  0.000041  0.015401     3.061
   1.01806  0.00078  0.00414  3.35810  0.000097  0.000035  0.032639     2.730
   1.01951  0.00035  0.00275  3.39147  0.000081  0.000031  0.046371     2.590
   1.02091  0.00009  0.00139  3.39638  0.000071  0.000028  0.057888     2.518
   1.02225  0.00000  0.00005  3.37363  0.000061  0.000025  0.073431     2.429
   1.02356  0.00008 -0.00126  3.29265  0.000052  0.000023  0.094891     2.303
   1.02488  0.00037 -0.00255  3.11070  0.000048  0.000021  0.103836     2.230
   1.02623  0.00085 -0.00381  2.85518  0.000047  0.000022  0.098629     2.202
   1.02766  0.00154 -0.00506  2.57278  0.000049  0.000022  0.086617     2.200
   1.02917  0.00244 -0.00628  2.28725  0.000050  0.000023  0.074910     2.196
   1.03079  0.00356 -0.00744  1.99548  0.000052  0.000024  0.064270     2.172
   1.03252  0.00491 -0.00853  1.69925  0.000057  0.000026  0.051307     2.155
   1.03439  0.00648 -0.00956  1.42551  0.000063  0.000029  0.038453     2.158
   1.03643  0.00827 -0.01053  1.18969  0.000071  0.000033  0.028480     2.166
   1.03867  0.01030 -0.01146  0.98479  0.000079  0.000036  0.021233     2.165
   1.04115  0.01262 -0.01236  0.80581  0.000088  0.000040  0.015145     2.190
   1.04395  0.01527 -0.01323  0.64468  0.000096  0.000044  0.011404     2.164
   1.04713  0.01833 -0.01409  0.49720  0.000110  0.000050  0.007346     2.208
   1.05078  0.02189 -0.01492  0.36826  0.000119  0.000055  0.005148     2.183
   1.05503  0.02606 -0.01574  0.24759  0.000137  0.000061  0.002905     2.226
   1.06002  0.03099 -0.01654  0.13786  0.000146  0.000066  0.001538     2.208
   1.06591  0.03683 -0.01730  0.03663  0.000179  0.000080  0.000328     2.230
   1.07284  0.04373 -0.01800 -0.05509  0.000179  0.000080  0.000494     2.230
   1.08089  0.05175 -0.01862 -0.13706  0.000216  0.000095  0.000979     2.269
   1.09000  0.06084 -0.01913 -0.20914  0.000231  0.000104  0.001445     2.230
   1.10001  0.07084 -0.01951 -0.27112  0.000263  0.000115  0.001562     2.288
   1.11070  0.08153 -0.01976 -0.32362  0.000283  0.000125  0.001777     2.260
   1.12185  0.09269 -0.01989 -0.36883  0.000311  0.000136  0.001797     2.289
   1.13333  0.10417 -0.01992 -0.40640  0.000336  0.000146  0.001831     2.291
   1.14504  0.11588 -0.01986 -0.43926  0.000359  0.000156  0.001847     2.294
   1.15691  0.12775 -0.01972 -0.46755  0.000383  0.000166  0.001825     2.304
   1.16889  0.13972 -0.01953 -0.49266  0.000403  0.000175  0.001823     2.305
   1.18095  0.15178 -0.01928 -0.51429  0.000428  0.000185  0.001774     2.317
   1.19307  0.16389 -0.01899 -0.53441  0.000445  0.000193  0.001784     2.310
   1.20523  0.17605 -0.01867 -0.55181  0.000468  0.000201  0.001725     2.325
   1.21742  0.18824 -0.01830 -0.56825  0.000485  0.000209  0.001727     2.319
   1.22965  0.20046 -0.01791 -0.58299  0.000505  0.000217  0.001689     2.326
   1.24191  0.21271 -0.01750 -0.59634  0.000524  0.000225  0.001656     2.331
   1.25418  0.22498 -0.01707 -0.60901  0.000540  0.000232  0.001644     2.329
   1.26646  0.23725 -0.01661 -0.62040  0.000559  0.000239  0.001606     2.337
   1.27877  0.24955 -0.01613 -0.63116  0.000576  0.000246  0.001586     2.337
   1.29109  0.26186 -0.01564 -0.64127  0.000592  0.000253  0.001566     2.338
   1.30342  0.27417 -0.01514 -0.65053  0.000609  0.000260  0.001535     2.344
   1.31576  0.28651 -0.01462 -0.65937  0.000625  0.000267  0.001517     2.344
   1.32811  0.29885 -0.01409 -0.66762  0.000641  0.000273  0.001493     2.347
   1.34048  0.31121 -0.01355 -0.67518  0.000658  0.000280  0.001462     2.353
   1.35287  0.32359 -0.01301 -0.68251  0.000673  0.000286  0.001446     2.353
   1.36527  0.33597 -0.01246 -0.68969  0.000686  0.000292  0.001437     2.350
   1.37766  0.34835 -0.01191 -0.69635  0.000701  0.000298  0.001415     2.353
   1.39006  0.36074 -0.01136 -0.70308  0.000713  0.000303  0.001411     2.349
   1.40246  0.37312 -0.01080 -0.70905  0.000729  0.000309  0.001383     2.356
   1.41486  0.38551 -0.01024 -0.71497  0.000742  0.000315  0.001370     2.356
   1.42727  0.39791 -0.00967 -0.72059  0.000756  0.000320  0.001353     2.358
   1.43968  0.41030 -0.00911 -0.72593  0.000769  0.000326  0.001336     2.360
   1.45208  0.42269 -0.00854 -0.73115  0.000782  0.000331  0.001324     2.360
   1.46447  0.43507 -0.00797 -0.73591  0.000797  0.000337  0.001301     2.365
   1.47686  0.44745 -0.00741 -0.74067  0.000809  0.000342  0.001291     2.364
   1.48926  0.45983 -0.00685 -0.74526  0.000821  0.000347  0.001279     2.365
   1.50165  0.47221 -0.00630 -0.74997  0.000831  0.000352  0.001277     2.361
   1.51404  0.48459 -0.00575 -0.75412  0.000845  0.000357  0.001256     2.366
   1.52641  0.49695 -0.00520 -0.75842  0.000855  0.000362  0.001250     2.364
   1.53879  0.50931 -0.00466 -0.76250  0.000867  0.000367  0.001238     2.365
   1.55116  0.52167 -0.00414 -0.76655  0.000877  0.000371  0.001231     2.364
   1.56351  0.53402 -0.00361 -0.77040  0.000889  0.000376  0.001220     2.366
   1.57586  0.54635 -0.00310 -0.77421  0.000899  0.000380  0.001212     2.365
   1.58820  0.55868 -0.00260 -0.77801  0.000909  0.000384  0.001207     2.364
   1.60053  0.57100 -0.00212 -0.78180  0.000917  0.000388  0.001204     2.362
   1.61287  0.58333 -0.00165 -0.78558  0.000926  0.000392  0.001202     2.359
   1.62519  0.59565 -0.00118 -0.78919  0.000935  0.000396  0.001195     2.359
   1.63751  0.60796 -0.00074 -0.79306  0.000941  0.000400  0.001200     2.354
   1.64983  0.62027 -0.00031 -0.79668  0.000949  0.000403  0.001195     2.354
   1.66215  0.63259  0.00011 -0.80044  0.000956  0.000407  0.001197     2.350
   1.67447  0.64489  0.00051 -0.80403  0.000964  0.000410  0.001194     2.349
