# s      x(s)
1.9674 0.9394
1.9735 0.9455
1.9797 0.9515
1.9859 0.9576
1.9920 0.9637
1.9982 0.9697
2.0044 0.9758
2.0105 0.9818
2.0167 0.9879
2.0229 0.9939
2.0290 1.0000
