     Cd       T1_Re 3.00_M0.00_N9.0    
    0.1350041         -1.276385  
    0.1160317         -1.323343  
    0.1002596         -1.350195  
   0.08632135         -1.365255  
   0.07476324         -1.364027  
   0.06519015         -1.348546  
   0.05531461         -1.339119  
     0.047445         -1.313061  
   0.04089973         -1.275915  
   0.03331029         -1.126645  
    0.0290548          -1.08803  
   0.02469867         -1.048026  
   0.02113322         -1.000576  
   0.01789397        -0.9512144  
   0.01520014          -0.89836  
   0.01304944        -0.8428399  
   0.01153122        -0.7955635  
    0.0105458        -0.7105127  
  0.009307743        -0.6195472  
  0.008026841        -0.5208251  
  0.006294522        -0.4204097  
  0.005699317        -0.3052533  
  0.005604923        -0.1844759  
  0.005568594       -0.06367547  
  0.005571491        0.05742333  
  0.005584817         0.1785387  
  0.005624486          0.299679  
  0.005692436         0.4199484  
  0.005797466         0.5397337  
  0.006163768         0.7759489  
   0.00705711         0.8811997  
  0.009116203         0.9595676  
   0.01093655          1.022885  
   0.01286356          1.057086  
   0.01881194          1.141843  
   0.02270755          1.183756  
   0.02703749          1.226062  
   0.03202002          1.265644  
    0.0374562          1.304859  
   0.04315539           1.33679  
    0.0503598          1.380994  
   0.05805116          1.410995  
   0.06670501           1.43614  
   0.07616988          1.457587  
   0.08791535          1.465051  
   0.09975877          1.475907  
    0.1132228          1.478006  
    0.1285809          1.469418  
    0.1451478          1.454087  

