#	   x/c                CpPrandtl
   1.000000000000000   0.285286736581334
   0.994060000000000   0.294961377628097
   0.983840000000000   0.254228067506607
   0.973690000000000   0.228812939042491
   0.963310000000000   0.205714093686132
   0.952950000000000   0.185315445764783
   0.942520000000000   0.165991757959740
   0.932120000000000   0.149381064733948
   0.921700000000000   0.132847154373607
   0.911260000000000   0.119525327217946
   0.900820000000000   0.104411899868439
   0.890380000000000   0.090910912693392
   0.879940000000000   0.077461114095313
   0.869510000000000   0.063499429727564
   0.859070000000000   0.051086199813066
   0.848640000000000   0.037226892599251
   0.838200000000000   0.024800865540512
   0.827770000000000   0.012426027058739
   0.817330000000000   0.000460697192703
   0.806900000000000  -0.011875749856344
   0.796470000000000  -0.023738702568446
   0.786030000000000  -0.035844801021142
   0.775600000000000  -0.047579782290827
   0.765170000000000  -0.059110009252644
   0.754740000000000  -0.070051567579340
   0.744300000000000  -0.081121097348454
   0.733870000000000  -0.091896292800007
   0.723440000000000  -0.103746448367868
   0.713010000000000  -0.114726398127289
   0.702580000000000  -0.126768510858776
   0.692140000000000  -0.139156146484790
   0.681710000000000  -0.151671753553222
   0.671280000000000  -0.164020997746511
   0.660850000000000  -0.176754156267052
   0.650420000000000  -0.189653677662736
   0.639980000000000  -0.202502010481453
   0.629550000000000  -0.215785446204390
   0.619120000000000  -0.228633779023107
   0.608680000000000  -0.241635677572725
   0.598250000000000  -0.254931910439903
   0.587810000000000  -0.267844228979829
   0.577370000000000  -0.281166056135491
   0.566930000000000  -0.294833406185680
   0.556490000000000  -0.309063830582506
   0.546050000000000  -0.322987123517530
   0.535600000000000  -0.337499085087674
   0.525160000000000  -0.352510135283247
   0.514710000000000  -0.367150068295809
   0.504260000000000  -0.382404264231975
   0.493810000000000  -0.397888808764493
   0.483360000000000  -0.413386150441252
   0.472910000000000  -0.429126637858605
   0.462450000000000  -0.444931110997166
   0.452000000000000  -0.460914744155112
   0.441540000000000  -0.476796000159124
   0.431070000000000  -0.493304316230981
   0.420610000000000  -0.509377529398619
   0.410140000000000  -0.526410528384389
